studyName,Sample Number,Species,Region,Island,Stage,Individual ID,Clutch Completion,Date Egg,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo),Comments,Culmen_Length_mm_outlier,Culmen_Depth_mm_outlier,Flipper_Length_mm_outlier,Body_Mass_g_outlier,is_any_outlier,body_mass_kg,bill_area_mm2,bill_ratio,flipper_mass_ratio
PAL0708,11,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N6A1,Yes,2007-11-09,37.8,17.1,186.0,3300.0,Unknown,8.63243,-25.21315,No blood sample obtained for sexing.,False,False,False,False,False,3.3,646.38,2.2105263157894735,56.36363636363637
PAL0708,12,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N6A2,Yes,2007-11-09,37.8,17.3,180.0,3700.0,Unknown,,,No blood sample obtained.,False,False,False,False,False,3.7,653.9399999999999,2.184971098265896,48.648648648648646
PAL0708,13,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N7A1,Yes,2007-11-15,41.1,17.6,182.0,3200.0,Female,,,Not enough blood for isotopes.,False,False,False,False,False,3.2,723.3600000000001,2.3352272727272725,56.875
PAL0708,14,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N7A2,Yes,2007-11-15,38.6,21.2,191.0,3800.0,Male,,,Not enough blood for isotopes.,False,False,False,False,False,3.8,818.32,1.8207547169811322,50.26315789473684
PAL0708,15,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N8A1,Yes,2007-11-16,34.6,21.1,198.0,4400.0,Male,8.55583,-25.22588,,False,False,False,False,False,4.4,730.0600000000001,1.6398104265402844,44.99999999999999
PAL0708,16,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N8A2,Yes,2007-11-16,36.6,17.8,185.0,3700.0,Female,,,Not enough blood for isotopes.,False,False,False,False,False,3.7,651.48,2.056179775280899,50.0
PAL0708,17,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N9A1,Yes,2007-11-12,38.7,19.0,195.0,3450.0,Female,9.18528,-25.06691,,False,False,False,False,False,3.45,735.3000000000001,2.0368421052631582,56.52173913043478
PAL0708,18,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N9A2,Yes,2007-11-12,42.5,20.7,197.0,4500.0,Male,8.67538,-25.13993,,False,False,False,False,False,4.5,879.75,2.0531400966183577,43.77777777777778
PAL0708,19,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N10A1,Yes,2007-11-16,34.4,18.4,184.0,3325.0,Female,8.47827,-25.23319,,False,False,False,False,False,3.325,632.9599999999999,1.8695652173913044,55.338345864661655
PAL0708,20,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N10A2,Yes,2007-11-16,46.0,21.5,194.0,4200.0,Male,9.11616,-24.77227,,False,False,False,False,False,4.2,989.0,2.13953488372093,46.19047619047619
PAL0708,21,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N11A1,Yes,2007-11-12,37.8,18.3,174.0,3400.0,Female,8.73762,-25.09383,,False,False,False,False,False,3.4,691.74,2.065573770491803,51.1764705882353
PAL0708,22,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N11A2,Yes,2007-11-12,37.7,18.7,180.0,3600.0,Male,8.66271,-25.0639,,False,False,False,False,False,3.6,704.99,2.016042780748663,50.0
PAL0708,23,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N12A1,Yes,2007-11-12,35.9,19.2,189.0,3800.0,Female,9.22286,-25.03474,,False,False,False,False,False,3.8,689.28,1.8697916666666667,49.73684210526316
PAL0708,24,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N12A2,Yes,2007-11-12,38.2,18.1,185.0,3950.0,Male,8.43423,-25.22664,,False,False,False,False,False,3.95,691.4200000000001,2.110497237569061,46.835443037974684
PAL0708,25,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N13A1,Yes,2007-11-10,38.8,17.2,180.0,3800.0,Male,9.63954,-25.29856,,False,False,False,False,False,3.8,667.3599999999999,2.255813953488372,47.36842105263158
PAL0708,26,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N13A2,Yes,2007-11-10,35.3,18.9,187.0,3800.0,Female,9.21292,-24.3613,,False,False,False,False,False,3.8,667.1699999999998,1.8677248677248677,49.21052631578947
PAL0708,27,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N17A1,Yes,2007-11-12,40.6,18.6,183.0,3550.0,Male,8.93997,-25.36288,,False,False,False,False,False,3.55,755.1600000000001,2.182795698924731,51.54929577464789
PAL0708,28,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N17A2,Yes,2007-11-12,40.5,17.9,187.0,3200.0,Female,8.08138,-25.49448,,False,False,False,False,False,3.2,724.9499999999999,2.2625698324022347,58.4375
PAL0708,29,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N18A1,No,2007-11-10,37.9,18.6,172.0,3150.0,Female,8.38404,-25.19837,Nest never observed with full clutch.,False,False,False,False,False,3.15,704.94,2.0376344086021505,54.60317460317461
PAL0708,30,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N18A2,No,2007-11-10,40.5,18.9,180.0,3950.0,Male,8.90027,-25.11609,Nest never observed with full clutch.,False,False,False,False,False,3.95,765.4499999999999,2.1428571428571432,45.56962025316456
PAL0708,31,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N21A1,Yes,2007-11-09,39.5,16.7,178.0,3250.0,Female,9.69756,-25.11223,,False,False,False,False,False,3.25,659.65,2.3652694610778444,54.76923076923077
PAL0708,32,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N21A2,Yes,2007-11-09,37.2,18.1,178.0,3900.0,Male,9.72764,-25.0102,,False,False,False,False,False,3.9,673.32,2.0552486187845305,45.64102564102564
PAL0708,33,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N22A1,Yes,2007-11-09,39.5,17.8,188.0,3300.0,Female,9.66523,-25.0602,,False,False,False,False,False,3.3,703.1,2.2191011235955056,56.969696969696976
PAL0708,34,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N22A2,Yes,2007-11-09,40.9,18.9,184.0,3900.0,Male,8.79665,-25.14591,,False,False,False,False,False,3.9,773.0099999999999,2.164021164021164,47.17948717948718
PAL0708,35,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N23A1,Yes,2007-11-16,36.4,17.0,195.0,3325.0,Female,9.17847,-25.23061,,False,False,False,False,False,3.325,618.8,2.1411764705882352,58.64661654135338
PAL0708,36,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N23A2,Yes,2007-11-16,39.2,21.1,196.0,4150.0,Male,9.15308,-25.03469,,False,False,False,False,False,4.15,827.1200000000001,1.8578199052132702,47.2289156626506
PAL0708,37,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N24A1,Yes,2007-11-16,38.8,20.0,190.0,3950.0,Male,9.18985,-25.12255,,False,False,False,False,False,3.95,776.0,1.94,48.10126582278481
PAL0708,38,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N24A2,Yes,2007-11-16,42.2,18.5,180.0,3550.0,Female,8.04787,-25.49523,,False,False,False,False,False,3.55,780.7,2.2810810810810813,50.70422535211268
PAL0708,39,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N25A1,No,2007-11-13,37.6,19.3,181.0,3300.0,Female,9.41131,-25.04169,Nest never observed with full clutch.,False,False,False,False,False,3.3,725.6800000000001,1.9481865284974094,54.84848484848485
PAL0708,40,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N25A2,No,2007-11-13,39.8,19.1,184.0,4650.0,Male,,,Nest never observed with full clutch. Not enough blood for isotopes.,False,False,False,False,False,4.65,760.18,2.083769633507853,39.56989247311828
PAL0708,41,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N26A1,Yes,2007-11-16,36.5,18.0,182.0,3150.0,Female,9.68933,-24.4228,,False,False,False,False,False,3.15,657.0,2.0277777777777777,57.77777777777778
PAL0708,42,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N26A2,Yes,2007-11-16,40.8,18.4,195.0,3900.0,Male,,,Not enough blood for isotopes.,False,False,False,False,False,3.9,750.7199999999999,2.217391304347826,50.0
PAL0708,43,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N27A1,Yes,2007-11-19,36.0,18.5,186.0,3100.0,Female,9.50772,-25.03492,,False,False,False,False,False,3.1,666.0,1.945945945945946,60.0
PAL0708,44,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N27A2,Yes,2007-11-19,44.1,19.7,196.0,4400.0,Male,9.2372,-24.52698,,False,False,False,False,False,4.4,868.77,2.238578680203046,44.54545454545454
PAL0708,45,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N28A1,Yes,2007-11-16,37.0,16.9,185.0,3000.0,Female,9.36392,-25.01745,,False,False,False,False,False,3.0,625.3,2.1893491124260356,61.666666666666664
PAL0708,46,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N28A2,Yes,2007-11-16,39.6,18.8,190.0,4600.0,Male,9.49106,-24.10255,,False,False,False,False,False,4.6,744.48,2.106382978723404,41.30434782608696
PAL0708,47,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N29A1,Yes,2007-11-13,41.1,19.0,182.0,3425.0,Male,,,Not enough blood for isotopes.,False,False,False,False,False,3.425,780.9,2.1631578947368424,53.13868613138686
PAL0708,48,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N29A2,Yes,2007-11-13,37.5,18.9,179.0,2975.0,Unknown,,,Sexing primers did not amplify. Not enough blood for isotopes.,False,False,False,False,False,2.975,708.75,1.9841269841269842,60.168067226890756
PAL0708,49,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N30A1,Yes,2007-11-13,36.0,17.9,190.0,3450.0,Female,9.51784,-25.07683,,False,False,False,False,False,3.45,644.4,2.011173184357542,55.07246376811594
PAL0708,50,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N30A2,Yes,2007-11-13,42.3,21.2,191.0,4150.0,Male,8.87988,-25.18543,,False,False,False,False,False,4.15,896.7599999999999,1.9952830188679245,46.024096385542165
PAL0809,51,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N21A1,Yes,2008-11-06,39.6,17.7,186.0,3500.0,Female,8.46616,-26.12989,,False,False,False,False,False,3.5,700.92,2.2372881355932206,53.142857142857146
PAL0809,52,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N21A2,Yes,2008-11-06,40.1,18.9,188.0,4300.0,Male,8.51362,-26.55602,,False,False,False,False,False,4.3,757.89,2.121693121693122,43.72093023255814
PAL0809,53,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N22A1,Yes,2008-11-09,35.0,17.9,190.0,3450.0,Female,8.19539,-26.17213,,False,False,False,False,False,3.45,626.5,1.9553072625698324,55.07246376811594
PAL0809,54,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N22A2,Yes,2008-11-09,42.0,19.5,200.0,4050.0,Male,8.48095,-26.3146,,False,False,False,False,False,4.05,819.0,2.1538461538461537,49.382716049382715
PAL0809,55,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N23A1,Yes,2008-11-09,34.5,18.1,187.0,2900.0,Female,8.41837,-26.54718,,False,False,False,False,False,2.9,624.45,1.9060773480662982,64.48275862068965
PAL0809,56,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N23A2,Yes,2008-11-09,41.4,18.6,191.0,3700.0,Male,8.35396,-26.27853,,False,False,False,False,False,3.7,770.0400000000001,2.225806451612903,51.62162162162162
PAL0809,57,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N24A1,Yes,2008-11-15,39.0,17.5,186.0,3550.0,Female,8.57199,-26.07188,,False,False,False,False,False,3.55,682.5,2.2285714285714286,52.3943661971831
PAL0809,58,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N24A2,Yes,2008-11-15,40.6,18.8,193.0,3800.0,Male,8.56674,-25.98843,,False,False,False,False,False,3.8,763.2800000000001,2.1595744680851063,50.78947368421053
PAL0809,59,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N25A1,Yes,2008-11-15,36.5,16.6,181.0,2850.0,Female,9.07878,-25.88156,,False,False,False,False,False,2.85,605.9000000000001,2.1987951807228914,63.50877192982456
PAL0809,60,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N25A2,Yes,2008-11-15,37.6,19.1,194.0,3750.0,Male,9.108,-25.89677,,False,False,False,False,False,3.75,718.1600000000001,1.9685863874345548,51.733333333333334
PAL0809,61,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N27A1,Yes,2008-11-13,35.7,16.9,185.0,3150.0,Female,8.96472,-26.40943,,False,False,False,False,False,3.15,603.33,2.112426035502959,58.730158730158735
PAL0809,62,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N27A2,Yes,2008-11-13,41.3,21.1,195.0,4400.0,Male,8.74802,-26.37809,,False,False,False,False,False,4.4,871.43,1.9573459715639807,44.31818181818181
PAL0809,63,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N28A1,Yes,2008-11-13,37.6,17.0,185.0,3600.0,Female,8.58063,-26.21569,,False,False,False,False,False,3.6,639.2,2.211764705882353,51.388888888888886
PAL0809,64,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N28A2,Yes,2008-11-13,41.1,18.2,192.0,4050.0,Male,8.62264,-26.60023,,False,False,False,False,False,4.05,748.02,2.258241758241758,47.40740740740741
PAL0809,65,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N29A1,Yes,2008-11-13,36.4,17.1,184.0,2850.0,Female,8.62623,-26.1165,,False,False,False,False,False,2.85,622.44,2.1286549707602336,64.56140350877193
PAL0809,66,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N29A2,Yes,2008-11-13,41.6,18.0,192.0,3950.0,Male,8.85562,-26.09294,,False,False,False,False,False,3.95,748.8000000000001,2.3111111111111113,48.60759493670886
PAL0809,67,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N30A1,Yes,2008-11-06,35.5,16.2,195.0,3350.0,Female,8.56192,-25.95541,,False,False,False,False,False,3.35,575.1,2.191358024691358,58.208955223880594
PAL0809,68,Adelie Penguin (Pygoscelis adeliae),Anvers,Biscoe,"Adult, 1 Egg Stage",N30A2,Yes,2008-11-06,41.1,19.1,188.0,4100.0,Male,8.71078,-25.81012,,False,False,False,False,False,4.1,785.0100000000001,2.1518324607329844,45.85365853658537
PAL0809,69,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N32A1,No,2008-11-11,35.9,16.6,190.0,3050.0,Female,8.47781,-26.07821,Nest never observed with full clutch.,False,False,False,False,False,3.05,595.94,2.1626506024096384,62.29508196721312
PAL0809,70,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N32A2,No,2008-11-11,41.8,19.4,198.0,4450.0,Male,8.86853,-26.06209,Nest never observed with full clutch.,False,False,False,False,False,4.45,810.9199999999998,2.154639175257732,44.49438202247191
PAL0809,71,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N34A1,Yes,2008-11-14,33.5,19.0,190.0,3600.0,Female,7.88863,-26.63085,,False,False,False,False,False,3.6,636.5,1.763157894736842,52.77777777777778
PAL0809,72,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N34A2,Yes,2008-11-14,39.7,18.4,190.0,3900.0,Male,9.29808,-25.23453,,False,False,False,False,False,3.9,730.48,2.1576086956521743,48.71794871794872
PAL0809,73,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N35A1,Yes,2008-11-11,39.6,17.2,196.0,3550.0,Female,8.33524,-26.55351,,False,False,False,False,False,3.55,681.12,2.302325581395349,55.21126760563381
PAL0809,74,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N35A2,Yes,2008-11-11,45.8,18.9,197.0,4150.0,Male,8.18658,-26.45978,,False,False,False,False,False,4.15,865.6199999999999,2.4232804232804233,47.46987951807228
PAL0809,75,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N36A1,Yes,2008-11-08,35.5,17.5,190.0,3700.0,Female,8.70642,-26.15003,,False,False,False,False,False,3.7,621.25,2.0285714285714285,51.35135135135135
PAL0809,76,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N36A2,Yes,2008-11-08,42.8,18.5,195.0,4250.0,Male,8.2993,-26.38986,,False,False,False,False,False,4.25,791.8,2.3135135135135134,45.88235294117647
PAL0809,77,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N37A1,Yes,2008-11-06,40.9,16.8,191.0,3700.0,Female,8.47257,-26.02002,,False,False,False,False,False,3.7,687.12,2.4345238095238093,51.62162162162162
PAL0809,78,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N37A2,Yes,2008-11-06,37.2,19.4,184.0,3900.0,Male,8.3554,-26.44787,,False,False,False,False,False,3.9,721.68,1.9175257731958766,47.17948717948718
PAL0809,79,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N38A1,Yes,2008-11-09,36.2,16.1,187.0,3550.0,Female,7.82381,-26.51382,,False,False,False,False,False,3.55,582.82,2.248447204968944,52.67605633802817
PAL0809,80,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N38A2,Yes,2008-11-09,42.1,19.1,195.0,4000.0,Male,9.05736,-25.81513,,False,False,False,False,False,4.0,804.1100000000001,2.2041884816753927,48.75
PAL0809,81,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N39A1,Yes,2008-11-02,34.6,17.2,189.0,3200.0,Female,7.69778,-26.5387,,False,False,False,False,False,3.2,595.12,2.011627906976744,59.0625
PAL0809,82,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N39A2,Yes,2008-11-02,42.9,17.6,196.0,4700.0,Male,8.63259,-26.23027,,False,False,False,False,False,4.7,755.0400000000001,2.4374999999999996,41.702127659574465
PAL0809,83,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N40A1,Yes,2008-11-07,36.7,18.8,187.0,3800.0,Female,7.88494,-26.24837,,False,False,False,False,False,3.8,689.96,1.952127659574468,49.21052631578947
PAL0809,84,Adelie Penguin (Pygoscelis adeliae),Anvers,Torgersen,"Adult, 1 Egg Stage",N40A2,Yes,2008-11-07,35.1,19.4,193.0,4200.0,Male,8.90002,-26.46254,,False,False,False,False,False,4.2,680.9399999999999,1.8092783505154642,45.95238095238095
PAL0809,85,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N41A1,Yes,2008-11-17,37.3,17.8,191.0,3350.0,Female,8.32718,-26.38396,,False,False,False,False,False,3.35,663.9399999999999,2.095505617977528,57.014925373134325
PAL0809,86,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N41A2,Yes,2008-11-17,41.3,20.3,194.0,3550.0,Male,9.14863,-26.09635,,False,False,False,False,False,3.55,838.39,2.0344827586206895,54.647887323943664
PAL0809,87,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N42A1,Yes,2008-11-08,36.3,19.5,190.0,3800.0,Male,8.57087,-26.22227,,False,False,False,False,False,3.8,707.8499999999999,1.8615384615384614,50.0
PAL0809,88,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N42A2,Yes,2008-11-08,36.9,18.6,189.0,3500.0,Female,8.59147,-26.08165,,False,False,False,False,False,3.5,686.34,1.9838709677419353,54.0
PAL0809,89,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N44A1,Yes,2008-11-08,38.3,19.2,189.0,3950.0,Male,9.07826,-26.12417,,False,False,False,False,False,3.95,735.3599999999999,1.9947916666666665,47.848101265822784
PAL0809,90,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N44A2,Yes,2008-11-08,38.9,18.8,190.0,3600.0,Female,8.36936,-26.11199,,False,False,False,False,False,3.6,731.32,2.0691489361702127,52.77777777777778
PAL0809,91,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N45A1,Yes,2008-11-14,35.7,18.0,202.0,3550.0,Female,8.46531,-26.05621,,False,False,False,False,False,3.55,642.6,1.9833333333333334,56.90140845070423
PAL0809,92,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N45A2,Yes,2008-11-14,41.1,18.1,205.0,4300.0,Male,8.77018,-25.83352,,False,False,False,False,False,4.3,743.9100000000001,2.270718232044199,47.674418604651166
PAL0809,93,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N46A1,Yes,2008-11-05,34.0,17.1,185.0,3400.0,Female,8.01485,-26.69543,,False,False,False,False,False,3.4,581.4000000000001,1.9883040935672514,54.411764705882355
PAL0809,94,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N46A2,Yes,2008-11-05,39.6,18.1,186.0,4450.0,Male,8.49915,-26.42406,,False,False,False,False,False,4.45,716.7600000000001,2.187845303867403,41.79775280898876
PAL0809,95,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N48A1,Yes,2008-11-17,36.2,17.3,187.0,3300.0,Female,8.90723,-26.30037,,False,False,False,False,False,3.3,626.2600000000001,2.092485549132948,56.66666666666667
PAL0809,96,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N48A2,Yes,2008-11-17,40.8,18.9,208.0,4300.0,Male,8.48204,-26.57941,,False,False,False,False,False,4.3,771.1199999999999,2.1587301587301586,48.372093023255815
PAL0809,97,Adelie Penguin (Pygoscelis adeliae),Anvers,Dream,"Adult, 1 Egg Stage",N49A1,Yes,2008-11-08,38.1,18.6,190.0,3700.0,Female,8.10277,-26.50086,,False,False,False,False,False,3.7,708.6600000000001,2.0483870967741935,51.35135135135135
