species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,bill_length_mm_outlier,bill_depth_mm_outlier,flipper_length_mm_outlier,body_mass_g_outlier,is_any_outlier,body_mass_kg,bill_area_mm2,bill_ratio,flipper_mass_ratio
Adelie,Biscoe,35.9,19.2,189.0,3800.0,Female,False,False,False,False,False,3.8,689.28,1.8697916666666667,49.73684210526316
Adelie,Biscoe,38.2,18.1,185.0,3950.0,Male,False,False,False,False,False,3.95,691.4200000000001,2.110497237569061,46.835443037974684
Adelie,Biscoe,38.8,17.2,180.0,3800.0,Male,False,False,False,False,False,3.8,667.3599999999999,2.255813953488372,47.36842105263158
Adelie,Biscoe,35.3,18.9,187.0,3800.0,Female,False,False,False,False,False,3.8,667.1699999999998,1.8677248677248677,49.21052631578947
Adelie,Biscoe,40.6,18.6,183.0,3550.0,Male,False,False,False,False,False,3.55,755.1600000000001,2.182795698924731,51.54929577464789
Adelie,Biscoe,40.5,17.9,187.0,3200.0,Female,False,False,False,False,False,3.2,724.9499999999999,2.2625698324022347,58.4375
Adelie,Biscoe,37.9,18.6,172.0,3150.0,Female,False,False,False,False,False,3.15,704.94,2.0376344086021505,54.60317460317461
Adelie,Biscoe,40.5,18.9,180.0,3950.0,Male,False,False,False,False,False,3.95,765.4499999999999,2.1428571428571432,45.56962025316456
Adelie,Dream,39.5,16.7,178.0,3250.0,Female,False,False,False,False,False,3.25,659.65,2.3652694610778444,54.76923076923077
Adelie,Dream,37.2,18.1,178.0,3900.0,Male,False,False,False,False,False,3.9,673.32,2.0552486187845305,45.64102564102564
Adelie,Dream,39.5,17.8,188.0,3300.0,Female,False,False,False,False,False,3.3,703.1,2.2191011235955056,56.969696969696976
Adelie,Dream,40.9,18.9,184.0,3900.0,Male,False,False,False,False,False,3.9,773.0099999999999,2.164021164021164,47.17948717948718
Adelie,Dream,36.4,17.0,195.0,3325.0,Female,False,False,False,False,False,3.325,618.8,2.1411764705882352,58.64661654135338
Adelie,Dream,39.2,21.1,196.0,4150.0,Male,False,False,False,False,False,4.15,827.1200000000001,1.8578199052132702,47.2289156626506
Adelie,Dream,38.8,20.0,190.0,3950.0,Male,False,False,False,False,False,3.95,776.0,1.94,48.10126582278481
Adelie,Dream,42.2,18.5,180.0,3550.0,Female,False,False,False,False,False,3.55,780.7,2.2810810810810813,50.70422535211268
Adelie,Dream,37.6,19.3,181.0,3300.0,Female,False,False,False,False,False,3.3,725.6800000000001,1.9481865284974094,54.84848484848485
Adelie,Dream,39.8,19.1,184.0,4650.0,Male,False,False,False,False,False,4.65,760.18,2.083769633507853,39.56989247311828
Adelie,Dream,36.5,18.0,182.0,3150.0,Female,False,False,False,False,False,3.15,657.0,2.0277777777777777,57.77777777777778
Adelie,Dream,40.8,18.4,195.0,3900.0,Male,False,False,False,False,False,3.9,750.7199999999999,2.217391304347826,50.0
Adelie,Dream,36.0,18.5,186.0,3100.0,Female,False,False,False,False,False,3.1,666.0,1.945945945945946,60.0
Adelie,Dream,44.1,19.7,196.0,4400.0,Male,False,False,False,False,False,4.4,868.77,2.238578680203046,44.54545454545454
Adelie,Dream,37.0,16.9,185.0,3000.0,Female,False,False,False,False,False,3.0,625.3,2.1893491124260356,61.666666666666664
Adelie,Dream,39.6,18.8,190.0,4600.0,Male,False,False,False,False,False,4.6,744.48,2.106382978723404,41.30434782608696
Adelie,Dream,41.1,19.0,182.0,3425.0,Male,False,False,False,False,False,3.425,780.9,2.1631578947368424,53.13868613138686
Adelie,Dream,37.5,18.9,179.0,2975.0,Unknown,False,False,False,False,False,2.975,708.75,1.9841269841269842,60.168067226890756
Adelie,Dream,36.0,17.9,190.0,3450.0,Female,False,False,False,False,False,3.45,644.4,2.011173184357542,55.07246376811594
Adelie,Dream,42.3,21.2,191.0,4150.0,Male,False,False,False,False,False,4.15,896.7599999999999,1.9952830188679245,46.024096385542165
Adelie,Biscoe,39.6,17.7,186.0,3500.0,Female,False,False,False,False,False,3.5,700.92,2.2372881355932206,53.142857142857146
Adelie,Biscoe,40.1,18.9,188.0,4300.0,Male,False,False,False,False,False,4.3,757.89,2.121693121693122,43.72093023255814
Adelie,Biscoe,35.0,17.9,190.0,3450.0,Female,False,False,False,False,False,3.45,626.5,1.9553072625698324,55.07246376811594
Adelie,Biscoe,42.0,19.5,200.0,4050.0,Male,False,False,False,False,False,4.05,819.0,2.1538461538461537,49.382716049382715
Adelie,Biscoe,34.5,18.1,187.0,2900.0,Female,False,False,False,False,False,2.9,624.45,1.9060773480662982,64.48275862068965
Adelie,Biscoe,41.4,18.6,191.0,3700.0,Male,False,False,False,False,False,3.7,770.0400000000001,2.225806451612903,51.62162162162162
Adelie,Biscoe,39.0,17.5,186.0,3550.0,Female,False,False,False,False,False,3.55,682.5,2.2285714285714286,52.3943661971831
Adelie,Biscoe,40.6,18.8,193.0,3800.0,Male,False,False,False,False,False,3.8,763.2800000000001,2.1595744680851063,50.78947368421053
Adelie,Biscoe,36.5,16.6,181.0,2850.0,Female,False,False,False,False,False,2.85,605.9000000000001,2.1987951807228914,63.50877192982456
Adelie,Biscoe,37.6,19.1,194.0,3750.0,Male,False,False,False,False,False,3.75,718.1600000000001,1.9685863874345548,51.733333333333334
Adelie,Biscoe,35.7,16.9,185.0,3150.0,Female,False,False,False,False,False,3.15,603.33,2.112426035502959,58.730158730158735
Adelie,Biscoe,41.3,21.1,195.0,4400.0,Male,False,False,False,False,False,4.4,871.43,1.9573459715639807,44.31818181818181
Adelie,Biscoe,37.6,17.0,185.0,3600.0,Female,False,False,False,False,False,3.6,639.2,2.211764705882353,51.388888888888886
Adelie,Biscoe,41.1,18.2,192.0,4050.0,Male,False,False,False,False,False,4.05,748.02,2.258241758241758,47.40740740740741
Adelie,Biscoe,36.4,17.1,184.0,2850.0,Female,False,False,False,False,False,2.85,622.44,2.1286549707602336,64.56140350877193
Adelie,Biscoe,41.6,18.0,192.0,3950.0,Male,False,False,False,False,False,3.95,748.8000000000001,2.3111111111111113,48.60759493670886
Adelie,Biscoe,35.5,16.2,195.0,3350.0,Female,False,False,False,False,False,3.35,575.1,2.191358024691358,58.208955223880594
Adelie,Biscoe,41.1,19.1,188.0,4100.0,Male,False,False,False,False,False,4.1,785.0100000000001,2.1518324607329844,45.85365853658537
Adelie,Torgersen,35.9,16.6,190.0,3050.0,Female,False,False,False,False,False,3.05,595.94,2.1626506024096384,62.29508196721312
Adelie,Torgersen,41.8,19.4,198.0,4450.0,Male,False,False,False,False,False,4.45,810.9199999999998,2.154639175257732,44.49438202247191
Adelie,Torgersen,33.5,19.0,190.0,3600.0,Female,False,False,False,False,False,3.6,636.5,1.763157894736842,52.77777777777778
Adelie,Torgersen,39.7,18.4,190.0,3900.0,Male,False,False,False,False,False,3.9,730.48,2.1576086956521743,48.71794871794872
Adelie,Torgersen,39.6,17.2,196.0,3550.0,Female,False,False,False,False,False,3.55,681.12,2.302325581395349,55.21126760563381
Adelie,Torgersen,45.8,18.9,197.0,4150.0,Male,False,False,False,False,False,4.15,865.6199999999999,2.4232804232804233,47.46987951807228
Adelie,Torgersen,35.5,17.5,190.0,3700.0,Female,False,False,False,False,False,3.7,621.25,2.0285714285714285,51.35135135135135
Adelie,Torgersen,42.8,18.5,195.0,4250.0,Male,False,False,False,False,False,4.25,791.8,2.3135135135135134,45.88235294117647
Adelie,Torgersen,40.9,16.8,191.0,3700.0,Female,False,False,False,False,False,3.7,687.12,2.4345238095238093,51.62162162162162
Adelie,Torgersen,37.2,19.4,184.0,3900.0,Male,False,False,False,False,False,3.9,721.68,1.9175257731958766,47.17948717948718
Adelie,Torgersen,36.2,16.1,187.0,3550.0,Female,False,False,False,False,False,3.55,582.82,2.248447204968944,52.67605633802817
Adelie,Torgersen,42.1,19.1,195.0,4000.0,Male,False,False,False,False,False,4.0,804.1100000000001,2.2041884816753927,48.75
Adelie,Torgersen,34.6,17.2,189.0,3200.0,Female,False,False,False,False,False,3.2,595.12,2.011627906976744,59.0625
Adelie,Torgersen,42.9,17.6,196.0,4700.0,Male,False,False,False,False,False,4.7,755.0400000000001,2.4374999999999996,41.702127659574465
Adelie,Torgersen,36.7,18.8,187.0,3800.0,Female,False,False,False,False,False,3.8,689.96,1.952127659574468,49.21052631578947
Adelie,Torgersen,35.1,19.4,193.0,4200.0,Male,False,False,False,False,False,4.2,680.9399999999999,1.8092783505154642,45.95238095238095
Adelie,Dream,37.3,17.8,191.0,3350.0,Female,False,False,False,False,False,3.35,663.9399999999999,2.095505617977528,57.014925373134325
Adelie,Dream,41.3,20.3,194.0,3550.0,Male,False,False,False,False,False,3.55,838.39,2.0344827586206895,54.647887323943664
Adelie,Dream,36.3,19.5,190.0,3800.0,Male,False,False,False,False,False,3.8,707.8499999999999,1.8615384615384614,50.0
Adelie,Dream,36.9,18.6,189.0,3500.0,Female,False,False,False,False,False,3.5,686.34,1.9838709677419353,54.0
Adelie,Dream,38.3,19.2,189.0,3950.0,Male,False,False,False,False,False,3.95,735.3599999999999,1.9947916666666665,47.848101265822784
Adelie,Dream,38.9,18.8,190.0,3600.0,Female,False,False,False,False,False,3.6,731.32,2.0691489361702127,52.77777777777778
Adelie,Dream,35.7,18.0,202.0,3550.0,Female,False,False,False,False,False,3.55,642.6,1.9833333333333334,56.90140845070423
Adelie,Dream,41.1,18.1,205.0,4300.0,Male,False,False,False,False,False,4.3,743.9100000000001,2.270718232044199,47.674418604651166
Adelie,Dream,34.0,17.1,185.0,3400.0,Female,False,False,False,False,False,3.4,581.4000000000001,1.9883040935672514,54.411764705882355
Adelie,Dream,39.6,18.1,186.0,4450.0,Male,False,False,False,False,False,4.45,716.7600000000001,2.187845303867403,41.79775280898876
Adelie,Dream,36.2,17.3,187.0,3300.0,Female,False,False,False,False,False,3.3,626.2600000000001,2.092485549132948,56.66666666666667
Adelie,Dream,40.8,18.9,208.0,4300.0,Male,False,False,False,False,False,4.3,771.1199999999999,2.1587301587301586,48.372093023255815
Adelie,Dream,38.1,18.6,190.0,3700.0,Female,False,False,False,False,False,3.7,708.6600000000001,2.0483870967741935,51.35135135135135
Adelie,Dream,40.3,18.5,196.0,4350.0,Male,False,False,False,False,False,4.35,745.55,2.1783783783783783,45.05747126436782
Adelie,Dream,33.1,16.1,178.0,2900.0,Female,False,False,False,False,False,2.9,532.9100000000001,2.0559006211180124,61.37931034482759
Adelie,Dream,43.2,18.5,192.0,4100.0,Male,False,False,False,False,False,4.1,799.2,2.3351351351351353,46.82926829268293
Adelie,Biscoe,35.0,17.9,192.0,3725.0,Female,False,False,False,False,False,3.725,626.5,1.9553072625698324,51.54362416107382
Adelie,Biscoe,41.0,20.0,203.0,4725.0,Male,False,False,False,False,False,4.725,820.0,2.05,42.96296296296297
Adelie,Biscoe,37.7,16.0,183.0,3075.0,Female,False,False,False,False,False,3.075,603.2,2.35625,59.512195121951216
Adelie,Biscoe,37.8,20.0,190.0,4250.0,Male,False,False,False,False,False,4.25,756.0,1.89,44.705882352941174
Adelie,Biscoe,37.9,18.6,193.0,2925.0,Female,False,False,False,False,False,2.925,704.94,2.0376344086021505,65.98290598290599
Adelie,Biscoe,39.7,18.9,184.0,3550.0,Male,False,False,False,False,False,3.55,750.33,2.100529100529101,51.83098591549296
Adelie,Biscoe,38.6,17.2,199.0,3750.0,Female,False,False,False,False,False,3.75,663.92,2.244186046511628,53.06666666666667
Adelie,Biscoe,38.2,20.0,190.0,3900.0,Male,False,False,False,False,False,3.9,764.0,1.9100000000000001,48.71794871794872
Adelie,Biscoe,38.1,17.0,181.0,3175.0,Female,False,False,False,False,False,3.175,647.7,2.2411764705882353,57.00787401574804
Adelie,Biscoe,43.2,19.0,197.0,4775.0,Male,False,False,False,False,False,4.775,820.8000000000001,2.2736842105263158,41.2565445026178
Adelie,Biscoe,38.1,16.5,198.0,3825.0,Female,False,False,False,False,False,3.825,628.65,2.309090909090909,51.76470588235294
Adelie,Biscoe,45.6,20.3,191.0,4600.0,Male,False,False,False,False,False,4.6,925.6800000000001,2.2463054187192117,41.52173913043479
Adelie,Biscoe,39.7,17.7,193.0,3200.0,Female,False,False,False,False,False,3.2,702.69,2.2429378531073447,60.3125
Adelie,Biscoe,42.2,19.5,197.0,4275.0,Male,False,False,False,False,False,4.275,822.9000000000001,2.1641025641025644,46.081871345029235
Adelie,Biscoe,39.6,20.7,191.0,3900.0,Female,False,False,False,False,False,3.9,819.72,1.9130434782608696,48.97435897435898
Adelie,Biscoe,42.7,18.3,196.0,4075.0,Male,False,False,False,False,False,4.075,781.4100000000001,2.3333333333333335,48.09815950920245
Adelie,Torgersen,38.6,17.0,188.0,2900.0,Female,False,False,False,False,False,2.9,656.2,2.2705882352941176,64.82758620689656
Adelie,Torgersen,37.3,20.5,199.0,3775.0,Male,False,False,False,False,False,3.775,764.65,1.819512195121951,52.71523178807947
Adelie,Torgersen,35.7,17.0,189.0,3350.0,Female,False,False,False,False,False,3.35,606.9000000000001,2.1,56.417910447761194
Adelie,Torgersen,41.1,18.6,189.0,3325.0,Male,False,False,False,False,False,3.325,764.46,2.2096774193548385,56.84210526315789
Adelie,Torgersen,36.2,17.2,187.0,3150.0,Female,False,False,False,False,False,3.15,622.64,2.104651162790698,59.36507936507937
Adelie,Torgersen,37.7,19.8,198.0,3500.0,Male,False,False,False,False,False,3.5,746.46,1.9040404040404042,56.57142857142857
Adelie,Torgersen,40.2,17.0,176.0,3450.0,Female,False,False,False,False,False,3.45,683.4000000000001,2.364705882352941,51.01449275362319
Adelie,Torgersen,41.4,18.5,202.0,3875.0,Male,False,False,False,False,False,3.875,765.9,2.2378378378378376,52.12903225806452
Adelie,Torgersen,35.2,15.9,186.0,3050.0,Female,False,False,False,False,False,3.05,559.6800000000001,2.2138364779874213,60.98360655737705
Adelie,Torgersen,40.6,19.0,199.0,4000.0,Male,False,False,False,False,False,4.0,771.4,2.136842105263158,49.75
Adelie,Torgersen,38.8,17.6,191.0,3275.0,Female,False,False,False,False,False,3.275,682.88,2.204545454545454,58.3206106870229
Adelie,Torgersen,41.5,18.3,195.0,4300.0,Male,False,False,False,False,False,4.3,759.45,2.26775956284153,45.348837209302324
Adelie,Torgersen,39.0,17.1,191.0,3050.0,Female,False,False,False,False,False,3.05,666.9000000000001,2.280701754385965,62.622950819672134
Adelie,Torgersen,44.1,18.0,210.0,4000.0,Male,False,False,False,False,False,4.0,793.8000000000001,2.45,52.5
Adelie,Torgersen,38.5,17.9,190.0,3325.0,Female,False,False,False,False,False,3.325,689.15,2.1508379888268156,57.14285714285714
Adelie,Torgersen,43.1,19.2,197.0,3500.0,Male,False,False,False,False,False,3.5,827.52,2.244791666666667,56.285714285714285
Adelie,Dream,36.8,18.5,193.0,3500.0,Female,False,False,False,False,False,3.5,680.8,1.989189189189189,55.142857142857146
Adelie,Dream,37.5,18.5,199.0,4475.0,Male,False,False,False,False,False,4.475,693.75,2.027027027027027,44.469273743016764
Adelie,Dream,38.1,17.6,187.0,3425.0,Female,False,False,False,False,False,3.425,670.5600000000001,2.164772727272727,54.5985401459854
Adelie,Dream,41.1,17.5,190.0,3900.0,Male,False,False,False,False,False,3.9,719.25,2.3485714285714288,48.71794871794872
Adelie,Dream,35.6,17.5,191.0,3175.0,Female,False,False,False,False,False,3.175,623.0,2.0342857142857143,60.15748031496064
Adelie,Dream,40.2,20.1,200.0,3975.0,Male,False,False,False,False,False,3.975,808.0200000000001,2.0,50.31446540880503
Adelie,Dream,37.0,16.5,185.0,3400.0,Female,False,False,False,False,False,3.4,610.5,2.242424242424242,54.411764705882355
Adelie,Dream,39.7,17.9,193.0,4250.0,Male,False,False,False,False,False,4.25,710.63,2.217877094972067,45.411764705882355
Adelie,Dream,40.2,17.1,193.0,3400.0,Female,False,False,False,False,False,3.4,687.4200000000001,2.350877192982456,56.76470588235294
Adelie,Dream,40.6,17.2,187.0,3475.0,Male,False,False,False,False,False,3.475,698.32,2.36046511627907,53.81294964028777
Adelie,Dream,32.1,15.5,188.0,3050.0,Female,False,False,False,False,False,3.05,497.55,2.070967741935484,61.63934426229508
Adelie,Dream,40.7,17.0,190.0,3725.0,Male,False,False,False,False,False,3.725,691.9000000000001,2.394117647058824,51.00671140939597
Adelie,Dream,37.3,16.8,192.0,3000.0,Female,False,False,False,False,False,3.0,626.64,2.220238095238095,64.0
Adelie,Dream,39.0,18.7,185.0,3650.0,Male,False,False,False,False,False,3.65,729.3,2.085561497326203,50.68493150684932
Adelie,Dream,39.2,18.6,190.0,4250.0,Male,False,False,False,False,False,4.25,729.1200000000001,2.10752688172043,44.705882352941174
Adelie,Dream,36.6,18.4,184.0,3475.0,Female,False,False,False,False,False,3.475,673.4399999999999,1.9891304347826089,52.94964028776978
Adelie,Dream,36.0,17.8,195.0,3450.0,Female,False,False,False,False,False,3.45,640.8000000000001,2.0224719101123596,56.52173913043478
Adelie,Dream,37.8,18.1,193.0,3750.0,Male,False,False,False,False,False,3.75,684.18,2.0883977900552484,51.46666666666667
Adelie,Dream,36.0,17.1,187.0,3700.0,Female,False,False,False,False,False,3.7,615.6,2.1052631578947367,50.54054054054054
Adelie,Dream,41.5,18.5,201.0,4000.0,Male,False,False,False,False,False,4.0,767.75,2.2432432432432434,50.25
Chinstrap,Dream,46.5,17.9,192.0,3500.0,Female,False,False,False,False,False,3.5,832.3499999999999,2.597765363128492,54.857142857142854
Chinstrap,Dream,50.0,19.5,196.0,3900.0,Male,False,False,False,False,False,3.9,975.0,2.5641025641025643,50.256410256410255
Chinstrap,Dream,51.3,19.2,193.0,3650.0,Male,False,False,False,False,False,3.65,984.9599999999999,2.671875,52.87671232876713
Chinstrap,Dream,45.4,18.7,188.0,3525.0,Female,False,False,False,False,False,3.525,848.9799999999999,2.427807486631016,53.333333333333336
Chinstrap,Dream,52.7,19.8,197.0,3725.0,Male,False,False,False,False,False,3.725,1043.46,2.6616161616161618,52.88590604026845
Chinstrap,Dream,45.2,17.8,198.0,3950.0,Female,False,False,False,False,False,3.95,804.5600000000001,2.539325842696629,50.12658227848101
Chinstrap,Dream,46.1,18.2,178.0,3250.0,Female,False,False,False,False,False,3.25,839.02,2.5329670329670333,54.76923076923077
Chinstrap,Dream,51.3,18.2,197.0,3750.0,Male,False,False,False,False,False,3.75,933.66,2.8186813186813184,52.53333333333333
Chinstrap,Dream,46.0,18.9,195.0,4150.0,Female,False,False,False,False,False,4.15,869.4,2.433862433862434,46.98795180722891
Chinstrap,Dream,51.3,19.9,198.0,3700.0,Male,False,False,False,False,False,3.7,1020.8699999999999,2.577889447236181,53.51351351351351
Chinstrap,Dream,46.6,17.8,193.0,3800.0,Female,False,False,False,False,False,3.8,829.48,2.6179775280898876,50.78947368421053
Chinstrap,Dream,51.7,20.3,194.0,3775.0,Male,False,False,False,False,False,3.775,1049.51,2.5467980295566504,51.390728476821195
Chinstrap,Dream,47.0,17.3,185.0,3700.0,Female,False,False,False,False,False,3.7,813.1,2.7167630057803467,50.0
Chinstrap,Dream,52.0,18.1,201.0,4050.0,Male,False,False,False,False,False,4.05,941.2,2.87292817679558,49.62962962962963
Chinstrap,Dream,45.9,17.1,190.0,3575.0,Female,False,False,False,False,False,3.575,784.89,2.6842105263157894,53.14685314685315
Chinstrap,Dream,50.5,19.6,201.0,4050.0,Male,False,False,False,False,False,4.05,989.8000000000001,2.576530612244898,49.62962962962963
Chinstrap,Dream,50.3,20.0,197.0,3300.0,Male,False,False,False,False,False,3.3,1006.0,2.5149999999999997,59.6969696969697
Chinstrap,Dream,58.0,17.8,181.0,3700.0,Female,False,False,False,False,False,3.7,1032.4,3.258426966292135,48.91891891891892
Chinstrap,Dream,46.4,18.6,190.0,3450.0,Female,False,False,False,False,False,3.45,863.0400000000001,2.494623655913978,55.07246376811594
Chinstrap,Dream,49.2,18.2,195.0,4400.0,Male,False,False,False,False,False,4.4,895.44,2.7032967032967035,44.31818181818181
Chinstrap,Dream,42.4,17.3,181.0,3600.0,Female,False,False,False,False,False,3.6,733.52,2.450867052023121,50.27777777777778
Chinstrap,Dream,48.5,17.5,191.0,3400.0,Male,False,False,False,False,False,3.4,848.75,2.7714285714285714,56.1764705882353
Chinstrap,Dream,43.2,16.6,187.0,2900.0,Female,False,False,False,False,False,2.9,717.1200000000001,2.602409638554217,64.48275862068965
Chinstrap,Dream,50.6,19.4,193.0,3800.0,Male,False,False,False,False,False,3.8,981.64,2.6082474226804124,50.78947368421053
Chinstrap,Dream,46.7,17.9,195.0,3300.0,Female,False,False,False,False,False,3.3,835.93,2.608938547486034,59.09090909090909
Chinstrap,Dream,52.0,19.0,197.0,4150.0,Male,False,False,False,False,False,4.15,988.0,2.736842105263158,47.46987951807228
Chinstrap,Dream,50.5,18.4,200.0,3400.0,Female,False,False,False,False,False,3.4,929.1999999999999,2.7445652173913047,58.82352941176471
Chinstrap,Dream,49.5,19.0,200.0,3800.0,Male,False,False,False,False,False,3.8,940.5,2.6052631578947367,52.631578947368425
Chinstrap,Dream,46.4,17.8,191.0,3700.0,Female,False,False,False,False,False,3.7,825.92,2.6067415730337076,51.62162162162162
Chinstrap,Dream,52.8,20.0,205.0,4550.0,Male,False,False,False,False,False,4.55,1056.0,2.6399999999999997,45.05494505494506
Chinstrap,Dream,40.9,16.6,187.0,3200.0,Female,False,False,False,False,False,3.2,678.94,2.4638554216867465,58.4375
Chinstrap,Dream,54.2,20.8,201.0,4300.0,Male,False,False,False,False,False,4.3,1127.3600000000001,2.605769230769231,46.74418604651163
Chinstrap,Dream,42.5,16.7,187.0,3350.0,Female,False,False,False,False,False,3.35,709.75,2.5449101796407185,55.82089552238806
Chinstrap,Dream,51.0,18.8,203.0,4100.0,Male,False,False,False,False,False,4.1,958.8000000000001,2.7127659574468086,49.51219512195122
Chinstrap,Dream,49.7,18.6,195.0,3600.0,Male,False,False,False,False,False,3.6,924.4200000000001,2.672043010752688,54.166666666666664
Chinstrap,Dream,47.5,16.8,199.0,3900.0,Female,False,False,False,False,False,3.9,798.0,2.827380952380952,51.02564102564103
Chinstrap,Dream,47.6,18.3,195.0,3850.0,Female,False,False,False,False,False,3.85,871.08,2.601092896174863,50.64935064935065
Chinstrap,Dream,52.0,20.7,210.0,4800.0,Male,False,False,False,False,False,4.8,1076.3999999999999,2.5120772946859904,43.75
Chinstrap,Dream,46.9,16.6,192.0,2700.0,Female,False,False,False,False,False,2.7,778.5400000000001,2.8253012048192767,71.1111111111111
Chinstrap,Dream,53.5,19.9,205.0,4500.0,Male,False,False,False,False,False,4.5,1064.6499999999999,2.6884422110552766,45.55555555555556
Chinstrap,Dream,49.0,19.5,210.0,3950.0,Male,False,False,False,False,False,3.95,955.5,2.5128205128205128,53.164556962025316
Chinstrap,Dream,46.2,17.5,187.0,3650.0,Female,False,False,False,False,False,3.65,808.5,2.64,51.23287671232877
Chinstrap,Dream,50.9,19.1,196.0,3550.0,Male,False,False,False,False,False,3.55,972.19,2.664921465968586,55.21126760563381
Chinstrap,Dream,45.5,17.0,196.0,3500.0,Female,False,False,False,False,False,3.5,773.5,2.676470588235294,56.0
Chinstrap,Dream,50.9,17.9,196.0,3675.0,Female,False,False,False,False,False,3.675,911.1099999999999,2.8435754189944134,53.333333333333336
Chinstrap,Dream,50.8,18.5,201.0,4450.0,Male,False,False,False,False,False,4.45,939.8,2.745945945945946,45.168539325842694
Chinstrap,Dream,50.1,17.9,190.0,3400.0,Female,False,False,False,False,False,3.4,896.79,2.7988826815642462,55.88235294117647
Chinstrap,Dream,49.0,19.6,212.0,4300.0,Male,False,False,False,False,False,4.3,960.4000000000001,2.5,49.30232558139535
Chinstrap,Dream,51.5,18.7,187.0,3250.0,Male,False,False,False,False,False,3.25,963.05,2.7540106951871657,57.53846153846154
Chinstrap,Dream,49.8,17.3,198.0,3675.0,Female,False,False,False,False,False,3.675,861.54,2.8786127167630053,53.87755102040816
Chinstrap,Dream,48.1,16.4,199.0,3325.0,Female,False,False,False,False,False,3.325,788.8399999999999,2.932926829268293,59.849624060150376
Chinstrap,Dream,51.4,19.0,201.0,3950.0,Male,False,False,False,False,False,3.95,976.6,2.705263157894737,50.88607594936709
Chinstrap,Dream,45.7,17.3,193.0,3600.0,Female,False,False,False,False,False,3.6,790.6100000000001,2.6416184971098264,53.61111111111111
Chinstrap,Dream,50.7,19.7,203.0,4050.0,Male,False,False,False,False,False,4.05,998.79,2.5736040609137056,50.123456790123456
Chinstrap,Dream,42.5,17.3,187.0,3350.0,Female,False,False,False,False,False,3.35,735.25,2.4566473988439306,55.82089552238806
Chinstrap,Dream,52.2,18.8,197.0,3450.0,Male,False,False,False,False,False,3.45,981.3600000000001,2.776595744680851,57.10144927536231
