,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,bill_length_mm_outlier,bill_depth_mm_outlier,flipper_length_mm_outlier,body_mass_g_outlier,is_any_outlier,body_mass_kg,bill_area_mm2,bill_ratio,flipper_mass_ratio,cluster,PC1,PC2
27,Adelie,Biscoe,40.5,17.9,187.0,3200.0,Female,False,False,False,False,False,3.2,724.9499999999999,2.2625698324022347,58.4375,0,-1.6978859783878033,-0.1807298285086817
28,Adelie,Biscoe,37.9,18.6,172.0,3150.0,Female,False,False,False,False,False,3.15,704.94,2.0376344086021505,54.60317460317461,0,-2.709483230907918,-0.19007927847109776
29,Adelie,Biscoe,40.5,18.9,180.0,3950.0,Male,False,False,False,False,False,3.95,765.4499999999999,2.1428571428571432,45.56962025316456,0,-1.6744039836462554,0.30298649287409957
30,Adelie,Dream,39.5,16.7,178.0,3250.0,Female,False,False,False,False,False,3.25,659.65,2.3652694610778444,54.76923076923077,0,-1.8731293167802074,-0.7735189635149787
31,Adelie,Dream,37.2,18.1,178.0,3900.0,Male,False,False,False,False,False,3.9,673.32,2.0552486187845305,45.64102564102564,0,-1.9044219965189784,-0.389719926331002
32,Adelie,Dream,39.5,17.8,188.0,3300.0,Female,False,False,False,False,False,3.3,703.1,2.2191011235955056,56.969696969696976,0,-1.6514479415273384,-0.32046116541238034
33,Adelie,Dream,40.9,18.9,184.0,3900.0,Male,False,False,False,False,False,3.9,773.0099999999999,2.164021164021164,47.17948717948718,0,-1.5107113303342725,0.3422858365953527
34,Adelie,Dream,36.4,17.0,195.0,3325.0,Female,False,False,False,False,False,3.325,618.8,2.1411764705882352,58.64661654135338,0,-1.4430073053565173,-0.9818681382901653
35,Adelie,Dream,39.2,21.1,196.0,4150.0,Male,False,False,False,False,False,4.15,827.1200000000001,1.8578199052132705,47.2289156626506,0,-1.4357568078778258,1.0761904493694077
36,Adelie,Dream,38.8,20.0,190.0,3950.0,Male,False,False,False,False,False,3.95,776.0,1.94,48.10126582278481,0,-1.6294058363269515,0.5639753587145316
37,Adelie,Dream,42.2,18.5,180.0,3550.0,Female,False,False,False,False,False,3.55,780.7,2.2810810810810813,50.70422535211268,0,-1.7252996614788474,0.2852987949189422
38,Adelie,Dream,37.6,19.3,181.0,3300.0,Female,False,False,False,False,False,3.3,725.6800000000001,1.9481865284974091,54.84848484848485,0,-2.403928881927029,0.07815319378923853
39,Adelie,Dream,39.8,19.1,184.0,4650.0,Male,False,False,False,False,False,4.65,760.18,2.083769633507853,39.56989247311828,0,-1.1284908804375957,0.3817112960903387
40,Adelie,Dream,36.5,18.0,182.0,3150.0,Female,False,False,False,False,False,3.15,657.0,2.0277777777777777,57.77777777777778,0,-2.293189086656749,-0.5857338545391918
41,Adelie,Dream,40.8,18.4,195.0,3900.0,Male,False,False,False,False,False,3.9,750.7199999999999,2.217391304347826,50.0,0,-0.9647933340842013,0.13019340870052823
42,Adelie,Dream,36.0,18.5,186.0,3100.0,Female,False,False,False,False,False,3.1,666.0,1.945945945945946,60.0,0,-2.306672741518225,-0.4424986783530115
43,Adelie,Dream,44.1,19.7,196.0,4400.0,Male,False,False,False,False,False,4.4,868.77,2.238578680203046,44.54545454545454,2,-0.5686937876613943,1.0730651194342467
44,Adelie,Dream,37.0,16.9,185.0,3000.0,Female,False,False,False,False,False,3.0,625.3,2.189349112426036,61.66666666666666,0,-2.006934721757467,-0.9923740020021612
45,Adelie,Dream,39.6,18.8,190.0,4600.0,Male,False,False,False,False,False,4.6,744.48,2.106382978723404,41.30434782608696,0,-0.8716800658664425,0.23370178222078586
46,Adelie,Dream,41.1,19.0,182.0,3425.0,Male,False,False,False,False,False,3.425,780.9,2.1631578947368424,53.13868613138686,0,-1.9227966957570337,0.3543786211633962
47,Adelie,Dream,37.5,18.9,179.0,2975.0,Unknown,False,False,False,False,False,2.975,708.75,1.984126984126984,60.16806722689076,0,-2.6363070018990995,-0.12971064885193737
48,Adelie,Dream,36.0,17.9,190.0,3450.0,Female,False,False,False,False,False,3.45,644.4,2.011173184357542,55.07246376811594,0,-1.7795983612111326,-0.6483219993469929
49,Adelie,Dream,42.3,21.2,191.0,4150.0,Male,False,False,False,False,False,4.15,896.7599999999999,1.9952830188679245,46.024096385542165,2,-1.4022177626216668,1.4565932911988806
50,Adelie,Biscoe,39.6,17.7,186.0,3500.0,Female,False,False,False,False,False,3.5,700.92,2.2372881355932206,53.142857142857146,0,-1.5676318821512871,-0.3292419565030941
51,Adelie,Biscoe,40.1,18.9,188.0,4300.0,Male,False,False,False,False,False,4.3,757.89,2.121693121693122,43.72093023255814,0,-1.138466342705468,0.2972285452383202
52,Adelie,Biscoe,35.0,17.9,190.0,3450.0,Female,False,False,False,False,False,3.45,626.5,1.9553072625698324,55.07246376811594,0,-1.8633314955799363,-0.7581993948280705
53,Adelie,Biscoe,42.0,19.5,200.0,4050.0,Male,False,False,False,False,False,4.05,819.0,2.1538461538461537,49.38271604938272,2,-0.7796287724143962,0.7248766194276428
54,Adelie,Biscoe,34.5,18.1,187.0,2900.0,Female,False,False,False,False,False,2.9,624.45,1.9060773480662985,64.48275862068965,0,-2.4470327765368305,-0.790528165701992
55,Adelie,Biscoe,41.4,18.6,191.0,3700.0,Male,False,False,False,False,False,3.7,770.0400000000001,2.225806451612903,51.62162162162162,0,-1.2571639454569876,0.25551485609784197
56,Adelie,Biscoe,39.0,17.5,186.0,3550.0,Female,False,False,False,False,False,3.55,682.5,2.2285714285714286,52.3943661971831,0,-1.5428082683693567,-0.47102122920656514
57,Adelie,Biscoe,40.6,18.8,193.0,3800.0,Male,False,False,False,False,False,3.8,763.2800000000001,2.1595744680851063,50.78947368421053,0,-1.2139350992999178,0.259610727697385
58,Adelie,Biscoe,36.5,16.6,181.0,2850.0,Female,False,False,False,False,False,2.85,605.9000000000001,2.198795180722892,63.50877192982456,0,-2.2552583941878033,-1.1854658180875957
59,Adelie,Biscoe,37.6,19.1,194.0,3750.0,Male,False,False,False,False,False,3.75,718.1600000000001,1.9685863874345548,51.73333333333333,0,-1.519427219490084,0.0465529107168455
60,Adelie,Biscoe,35.7,16.9,185.0,3150.0,Female,False,False,False,False,False,3.15,603.33,2.112426035502959,58.730158730158735,0,-2.0127770979171165,-1.1193825362945593
61,Adelie,Biscoe,41.3,21.1,195.0,4400.0,Male,False,False,False,False,False,4.4,871.43,1.9573459715639807,44.31818181818181,2,-1.1293668029381116,1.3331633432330514
62,Adelie,Biscoe,37.6,17.0,185.0,3600.0,Female,False,False,False,False,False,3.6,639.2,2.211764705882353,51.388888888888886,0,-1.565015344505312,-0.8225541477019253
63,Adelie,Biscoe,41.1,18.2,192.0,4050.0,Male,False,False,False,False,False,4.05,748.02,2.258241758241758,47.40740740740741,0,-0.9193383246604454,0.09738920271382867
64,Adelie,Biscoe,36.4,17.1,184.0,2850.0,Female,False,False,False,False,False,2.85,622.44,2.1286549707602336,64.56140350877193,0,-2.2420459705629243,-0.9931587601329395
65,Adelie,Biscoe,41.6,18.0,192.0,3950.0,Male,False,False,False,False,False,3.95,748.8000000000001,2.311111111111112,48.60759493670886,0,-0.905418961592626,0.06064298520654087
66,Adelie,Biscoe,35.5,16.2,195.0,3350.0,Female,False,False,False,False,False,3.35,575.1,2.191358024691358,58.208955223880594,0,-1.3382922969486832,-1.4026398956876027
67,Adelie,Biscoe,41.1,19.1,188.0,4100.0,Male,False,False,False,False,False,4.1,785.0100000000001,2.1518324607329844,45.85365853658537,0,-1.2328074012596728,0.46712669630122117
68,Adelie,Torgersen,35.9,16.6,190.0,3050.0,Female,False,False,False,False,False,3.05,595.94,2.1626506024096384,62.29508196721312,0,-1.797944003872807,-1.228874888284304
69,Adelie,Torgersen,41.8,19.4,198.0,4450.0,Male,False,False,False,False,False,4.45,810.9199999999998,2.154639175257732,44.49438202247191,2,-0.5835850553225927,0.7042420494699417
70,Adelie,Torgersen,33.5,19.0,190.0,3600.0,Female,False,False,False,False,False,3.6,636.5,1.763157894736842,52.77777777777778,0,-2.1099167705447264,-0.4609673337413115
71,Adelie,Torgersen,39.7,18.4,190.0,3900.0,Male,False,False,False,False,False,3.9,730.48,2.1576086956521743,48.71794871794872,0,-1.26257015572871,0.008546091829898014
72,Adelie,Torgersen,39.6,17.2,196.0,3550.0,Female,False,False,False,False,False,3.55,681.12,2.302325581395349,55.21126760563381,0,-1.0201377477255023,-0.5252257212737657
73,Adelie,Torgersen,45.8,18.9,197.0,4150.0,Male,False,False,False,False,False,4.15,865.6199999999999,2.4232804232804237,47.46987951807228,2,-0.3939915024131974,0.9091055469620616
74,Adelie,Torgersen,35.5,17.5,190.0,3700.0,Female,False,False,False,False,False,3.7,621.25,2.0285714285714285,51.35135135135135,0,-1.5683272410693139,-0.839134288084178
75,Adelie,Torgersen,42.8,18.5,195.0,4250.0,Male,False,False,False,False,False,4.25,791.8,2.3135135135135134,45.88235294117647,2,-0.5773320662487129,0.4274548169526022
76,Adelie,Torgersen,40.9,16.8,191.0,3700.0,Female,False,False,False,False,False,3.7,687.12,2.4345238095238093,51.62162162162162,0,-0.9324911585718589,-0.5295955998751252
77,Adelie,Torgersen,37.2,19.4,184.0,3900.0,Male,False,False,False,False,False,3.9,721.68,1.9175257731958768,47.17948717948718,0,-1.9223404147403815,0.1385649617132628
78,Adelie,Torgersen,36.2,16.1,187.0,3550.0,Female,False,False,False,False,False,3.55,582.82,2.248447204968944,52.67605633802817,0,-1.4510408055579405,-1.3464328676994028
79,Adelie,Torgersen,42.1,19.1,195.0,4000.0,Male,False,False,False,False,False,4.0,804.1100000000001,2.2041884816753927,48.75,2,-0.9298095425297108,0.5675444264716543
80,Adelie,Torgersen,34.6,17.2,189.0,3200.0,Female,False,False,False,False,False,3.2,595.12,2.011627906976744,59.0625,0,-1.967100239490064,-1.112649272867516
81,Adelie,Torgersen,42.9,17.6,196.0,4700.0,Male,False,False,False,False,False,4.7,755.0400000000001,2.4375,41.70212765957447,2,-0.0355229054499171,0.12100935325179273
82,Adelie,Torgersen,36.7,18.8,187.0,3800.0,Female,False,False,False,False,False,3.8,689.96,1.952127659574468,49.21052631578947,0,-1.787298771944842,-0.16984973288855212
83,Adelie,Torgersen,35.1,19.4,193.0,4200.0,Male,False,False,False,False,False,4.2,680.9399999999999,1.809278350515464,45.95238095238095,0,-1.5219519269653938,-0.05910548181639359
84,Adelie,Dream,37.3,17.8,191.0,3350.0,Female,False,False,False,False,False,3.35,663.9399999999999,2.095505617977528,57.014925373134325,0,-1.6779217133288133,-0.55644476642155
85,Adelie,Dream,41.3,20.3,194.0,3550.0,Male,False,False,False,False,False,3.55,838.39,2.034482758620689,54.647887323943664,0,-1.5913217897315912,0.9187710063744475
86,Adelie,Dream,36.3,19.5,190.0,3800.0,Male,False,False,False,False,False,3.8,707.8499999999999,1.8615384615384611,50.0,0,-1.8399328835272195,0.07062430178093863
87,Adelie,Dream,36.9,18.6,189.0,3500.0,Female,False,False,False,False,False,3.5,686.34,1.9838709677419355,54.0,0,-1.8535787976785276,-0.2603557360809217
88,Adelie,Dream,38.3,19.2,189.0,3950.0,Male,False,False,False,False,False,3.95,735.3599999999999,1.9947916666666663,47.848101265822784,0,-1.5495000986926604,0.1843594431690688
89,Adelie,Dream,38.9,18.8,190.0,3600.0,Female,False,False,False,False,False,3.6,731.32,2.0691489361702127,52.77777777777778,0,-1.6170312500565727,0.0512404064973491
90,Adelie,Dream,35.7,18.0,202.0,3550.0,Female,False,False,False,False,False,3.55,642.6,1.9833333333333332,56.90140845070423,0,-1.262798902743704,-0.6282881640035985
91,Adelie,Dream,41.1,18.1,205.0,4300.0,Male,False,False,False,False,False,4.3,743.9100000000001,2.270718232044199,47.674418604651166,2,-0.19254755769820123,0.085244577543679
92,Adelie,Dream,34.0,17.1,185.0,3400.0,Female,False,False,False,False,False,3.4,581.4000000000001,1.9883040935672516,54.41176470588236,0,-2.024165523707706,-1.1986571135315611
93,Adelie,Dream,39.6,18.1,186.0,4450.0,Male,False,False,False,False,False,4.45,716.7600000000001,2.187845303867403,41.79775280898876,0,-0.9966839813191471,-0.06671172684242789
94,Adelie,Dream,36.2,17.3,187.0,3300.0,Female,False,False,False,False,False,3.3,626.2600000000001,2.092485549132948,56.66666666666667,0,-1.867084872470619,-0.8860384952661218
95,Adelie,Dream,40.8,18.9,208.0,4300.0,Male,False,False,False,False,False,4.3,771.1199999999999,2.1587301587301586,48.372093023255815,2,-0.257171653292005,0.37727144944085605
96,Adelie,Dream,38.1,18.6,190.0,3700.0,Female,False,False,False,False,False,3.7,708.6600000000001,2.048387096774193,51.35135135135135,0,-1.5746173636418044,-0.10723698535800287
97,Adelie,Dream,40.3,18.5,196.0,4350.0,Male,False,False,False,False,False,4.35,745.55,2.1783783783783783,45.05747126436782,0,-0.6768570283897601,0.16347248450686547
98,Adelie,Dream,33.1,16.1,178.0,2900.0,Female,False,False,False,False,False,2.9,532.9100000000001,2.0559006211180124,61.37931034482759,0,-2.5271998885968956,-1.7570664002816891
99,Adelie,Dream,43.2,18.5,192.0,4100.0,Male,False,False,False,False,False,4.1,799.2,2.3351351351351357,46.82926829268293,2,-0.7702517353242812,0.45510438620716415
100,Adelie,Biscoe,35.0,17.9,192.0,3725.0,Female,False,False,False,False,False,3.725,626.5,1.9553072625698324,51.54362416107382,0,-1.5922103987581153,-0.7288610423976547
101,Adelie,Biscoe,41.0,20.0,203.0,4725.0,Male,False,False,False,False,False,4.725,820.0,2.05,42.96296296296297,2,-0.3782280263823629,0.8895383806978395
102,Adelie,Biscoe,37.7,16.0,183.0,3075.0,Female,False,False,False,False,False,3.075,603.2,2.35625,59.512195121951216,0,-1.7958146509401722,-1.272942537101697
103,Adelie,Biscoe,37.8,20.0,190.0,4250.0,Male,False,False,False,False,False,4.25,756.0,1.89,44.70588235294117,0,-1.5071175736561648,0.4857621228994587
104,Adelie,Biscoe,37.9,18.6,193.0,2925.0,Female,False,False,False,False,False,2.925,704.94,2.0376344086021505,65.98290598290599,0,-2.000183708564545,-0.21054223448653017
105,Adelie,Biscoe,39.7,18.9,184.0,3550.0,Male,False,False,False,False,False,3.55,750.33,2.100529100529101,51.83098591549296,0,-1.851549388123025,0.17349144240772135
106,Adelie,Biscoe,38.6,17.2,199.0,3750.0,Female,False,False,False,False,False,3.75,663.92,2.244186046511628,53.06666666666667,0,-0.8431210597646172,-0.6135243678726395
107,Adelie,Biscoe,38.2,20.0,190.0,3900.0,Male,False,False,False,False,False,3.9,764.0,1.91,48.71794871794872,0,-1.7139826164548315,0.49277156148155166
108,Adelie,Biscoe,38.1,17.0,181.0,3175.0,Female,False,False,False,False,False,3.175,647.7,2.2411764705882358,57.00787401574804,0,-1.9795487221980568,-0.8130987549613827
109,Adelie,Biscoe,43.2,19.0,197.0,4775.0,Male,False,False,False,False,False,4.775,820.8000000000001,2.273684210526316,41.2565445026178,2,-0.2028497053879141,0.7299564156950168
110,Adelie,Biscoe,38.1,16.5,198.0,3825.0,Female,False,False,False,False,False,3.825,628.65,2.309090909090909,51.76470588235294,0,-0.7320732703187359,-0.9446591458220214
111,Adelie,Biscoe,45.6,20.3,191.0,4600.0,Male,False,False,False,False,False,4.6,925.68,2.246305418719212,41.52173913043479,2,-0.6335966466104643,1.5015990566692305
112,Adelie,Biscoe,39.7,17.7,193.0,3200.0,Female,False,False,False,False,False,3.2,702.69,2.2429378531073447,60.3125,0,-1.4773414423796416,-0.3488233220429672
113,Adelie,Biscoe,42.2,19.5,197.0,4275.0,Male,False,False,False,False,False,4.275,822.9000000000001,2.1641025641025644,46.08187134502924,2,-0.7317683220642378,0.7701309091684948
114,Adelie,Biscoe,39.6,20.7,191.0,3900.0,Female,False,False,False,False,False,3.9,819.72,1.9130434782608696,48.97435897435898,0,-1.6981652357088919,0.9307120352804041
115,Adelie,Biscoe,42.7,18.3,196.0,4075.0,Male,False,False,False,False,False,4.075,781.4100000000001,2.333333333333333,48.09815950920245,2,-0.6240238582943077,0.31702255860845635
116,Adelie,Torgersen,38.6,17.0,188.0,2900.0,Female,False,False,False,False,False,2.9,656.2,2.2705882352941176,64.82758620689656,0,-1.8385965789255907,-0.7860904823366578
117,Adelie,Torgersen,37.3,20.5,199.0,3775.0,Male,False,False,False,False,False,3.775,764.65,1.819512195121951,52.71523178807947,0,-1.6067945004849018,0.5849219214002443
118,Adelie,Torgersen,35.7,17.0,189.0,3350.0,Female,False,False,False,False,False,3.35,606.9000000000001,2.1,56.4179104477612,0,-1.7312564982679708,-1.0570822533644866
119,Adelie,Torgersen,41.1,18.6,189.0,3325.0,Male,False,False,False,False,False,3.325,764.46,2.2096774193548385,56.84210526315789,0,-1.6220787816026465,0.18265856513443493
120,Adelie,Torgersen,36.2,17.2,187.0,3150.0,Female,False,False,False,False,False,3.15,622.64,2.104651162790698,59.36507936507937,0,-1.9497322735421068,-0.942435672778704
121,Adelie,Torgersen,37.7,19.8,198.0,3500.0,Male,False,False,False,False,False,3.5,746.46,1.904040404040404,56.57142857142857,0,-1.6607451866532859,0.3157352797734944
122,Adelie,Torgersen,40.2,17.0,176.0,3450.0,Female,False,False,False,False,False,3.45,683.4000000000001,2.364705882352941,51.01449275362319,0,-1.8205265665761028,-0.5541129265987276
123,Adelie,Torgersen,41.4,18.5,202.0,3875.0,Male,False,False,False,False,False,3.875,765.9,2.2378378378378376,52.12903225806452,2,-0.6641466772901704,0.23514131827461152
124,Adelie,Torgersen,35.2,15.9,186.0,3050.0,Female,False,False,False,False,False,3.05,559.6800000000001,2.2138364779874213,60.98360655737705,0,-1.8785504148638783,-1.59037049435127
125,Adelie,Torgersen,40.6,19.0,199.0,4000.0,Male,False,False,False,False,False,4.0,771.4,2.136842105263158,49.75,0,-0.8705096475635485,0.36278898104361446
126,Adelie,Torgersen,38.8,17.6,191.0,3275.0,Female,False,False,False,False,False,3.275,682.88,2.204545454545454,58.3206106870229,0,-1.5631007661388912,-0.4806749084755932
127,Adelie,Torgersen,41.5,18.3,195.0,4300.0,Male,False,False,False,False,False,4.3,759.45,2.26775956284153,45.34883720930232,0,-0.6111216465249446,0.2087613674123773
128,Adelie,Torgersen,39.0,17.1,191.0,3050.0,Female,False,False,False,False,False,3.05,666.9000000000001,2.280701754385965,62.62295081967213,0,-1.5990536998032867,-0.6852730375267776
129,Adelie,Torgersen,44.1,18.0,210.0,4000.0,Male,False,False,False,False,False,4.0,793.8000000000001,2.45,52.5,2,0.07866411965575205,0.3434296884827728
130,Adelie,Torgersen,38.5,17.9,190.0,3325.0,Female,False,False,False,False,False,3.325,689.15,2.150837988826816,57.14285714285714,0,-1.6561077740556196,-0.38682191050513426
131,Adelie,Torgersen,43.1,19.2,197.0,3500.0,Male,False,False,False,False,False,3.5,827.52,2.244791666666667,56.285714285714285,2,-1.1275405511396677,0.6655261929255476
132,Adelie,Dream,36.8,18.5,193.0,3500.0,Female,False,False,False,False,False,3.5,680.8,1.989189189189189,55.142857142857146,0,-1.6770525145960404,-0.31128282783545325
133,Adelie,Dream,37.5,18.5,199.0,4475.0,Male,False,False,False,False,False,4.475,693.75,2.027027027027027,44.46927374301677,0,-0.702065331552619,-0.13052151387444885
134,Adelie,Dream,38.1,17.6,187.0,3425.0,Female,False,False,False,False,False,3.425,670.5600000000001,2.164772727272727,54.5985401459854,0,-1.6832395607483184,-0.542382750952501
135,Adelie,Dream,41.1,17.5,190.0,3900.0,Male,False,False,False,False,False,3.9,719.25,2.3485714285714288,48.71794871794872,0,-0.9620740905776201,-0.20271143361280694
136,Adelie,Dream,35.6,17.5,191.0,3175.0,Female,False,False,False,False,False,3.175,623.0,2.0342857142857143,60.15748031496064,0,-1.8793572976839517,-0.8834023915832891
137,Adelie,Dream,40.2,20.1,200.0,3975.0,Male,False,False,False,False,False,3.975,808.0200000000001,2.0,50.31446540880503,0,-1.104033548227984,0.7625718537226789
138,Adelie,Dream,37.0,16.5,185.0,3400.0,Female,False,False,False,False,False,3.4,610.5,2.242424242424242,54.41176470588236,0,-1.6507863359114516,-1.112415513165805
139,Adelie,Dream,39.7,17.9,193.0,4250.0,Male,False,False,False,False,False,4.25,710.63,2.217877094972067,45.41176470588236,0,-0.7969931476376898,-0.1568685678527926
140,Adelie,Dream,40.2,17.1,193.0,3400.0,Female,False,False,False,False,False,3.4,687.4200000000001,2.350877192982456,56.76470588235294,0,-1.1759474924790032,-0.5161657706025671
141,Adelie,Dream,40.6,17.2,187.0,3475.0,Male,False,False,False,False,False,3.475,698.32,2.36046511627907,53.81294964028777,0,-1.3581166355264813,-0.4246722930237911
142,Adelie,Dream,32.1,15.5,188.0,3050.0,Female,False,False,False,False,False,3.05,497.55,2.070967741935484,61.63934426229508,0,-1.9744017920784105,-2.09293793832435
143,Adelie,Dream,40.7,17.0,190.0,3725.0,Male,False,False,False,False,False,3.725,691.9000000000001,2.394117647058824,51.00671140939597,0,-1.0139300053566995,-0.4679586400083038
144,Adelie,Dream,37.3,16.8,192.0,3000.0,Female,False,False,False,False,False,3.0,626.64,2.220238095238095,64.0,0,-1.6735129606241643,-0.998880826459393
145,Adelie,Dream,39.0,18.7,185.0,3650.0,Male,False,False,False,False,False,3.65,729.3,2.085561497326203,50.68493150684932,0,-1.7596281135036118,0.02615822646876559
146,Adelie,Dream,39.2,18.6,190.0,4250.0,Male,False,False,False,False,False,4.25,729.1200000000001,2.10752688172043,44.70588235294117,0,-1.104805021263538,0.07167910905885783
147,Adelie,Dream,36.6,18.4,184.0,3475.0,Female,False,False,False,False,False,3.475,673.4399999999999,1.9891304347826089,52.94964028776978,0,-2.0608109666846772,-0.3778700118980171
148,Adelie,Dream,36.0,17.8,195.0,3450.0,Female,False,False,False,False,False,3.45,640.8000000000001,2.02247191011236,56.52173913043478,0,-1.5535646899240008,-0.688104915185126
149,Adelie,Dream,37.8,18.1,193.0,3750.0,Male,False,False,False,False,False,3.75,684.18,2.0883977900552484,51.46666666666667,0,-1.340181692901016,-0.33727902335102183
150,Adelie,Dream,36.0,17.1,187.0,3700.0,Female,False,False,False,False,False,3.7,615.6,2.1052631578947367,50.54054054054054,0,-1.5684097083949786,-0.9469252901668233
151,Adelie,Dream,41.5,18.5,201.0,4000.0,Male,False,False,False,False,False,4.0,767.75,2.2432432432432434,50.25,2,-0.611065189854559,0.25916602131526567
152,Chinstrap,Dream,46.5,17.9,192.0,3500.0,Female,False,False,False,False,False,3.5,832.3499999999999,2.597765363128492,54.85714285714285,2,-0.7837954012965663,0.510980885885234
153,Chinstrap,Dream,50.0,19.5,196.0,3900.0,Male,False,False,False,False,False,3.9,975.0,2.5641025641025643,50.256410256410255,2,-0.3773106950548226,1.587437957970105
